IP Address,Timestamp,User Type,User Agent,Endpoint,Request Type,Status Code,Response Time,Compliant
53.26.21.193,2023-01-01 00:00:30,developer,Android/84.0,/api/v1/inventory,DELETE,500,297,False
192.168.1.3,2023-01-01 00:06:21,admin,Chrome/87.0,/api/v1/configuration,PUT,200,800,True
179.122.213.45,2023-01-01 00:06:39,develOper,Android/84.0,/api/v1/configuration,GET,502,950,False
192.168.1.2,2023-01-01 00:07:23,analyst,Edge/89.0,/api/v1/products,GET,401,959,True
107.167.98.152,2023-01-01 00:15:39,analyst,Chrome/87.0,/api/v1/payments,DELETE,200,118,False
173.178.11.58,2023-01-01 00:22:56,develOper,Android/84.0,/api/v1/configuration,DELETE,404,352,False
145.125.62.112,2023-01-01 00:23:04,develOper,Edge/89.0,/api/v1/orders,POST,200,575,False
192.168.1.3,2023-01-01 00:27:18,developer,Edge/89.0,/api/v1/orders,POST,403,474,True
192.168.1.2,2023-01-01 00:31:39,analyst,Firefox/84.0,/api/v1/products,GET,404,449,True
192.168.1.3,2023-01-01 00:34:11,developer,iPhone; CPU OS 12_4_9,/api/v1/inventory,PUT,502,365,True
192.168.1.2,2023-01-01 00:35:14,developer,iPhone; CPU OS 12_4_9,/api/v1/products,PUT,500,865,True
192.168.1.2,2023-01-01 00:36:43,analyst,Android/84.0,/api/v1/inventory,GET,200,346,True
192.168.1.3,2023-01-01 00:42:13,admin,Android/84.0,/api/v1/payments,PUT,500,442,True
192.168.1.1,2023-01-01 00:42:13,analyst,iPhone; CPU OS 12_4_9,/api/v1/orders,GET,200,179,True
192.168.1.2,2023-01-01 00:53:54,analyst,Firefox/84.0,/api/v1/orders,GET,403,271,True
192.168.1.3,2023-01-01 00:54:59,analyst,Firefox/84.0,/api/v1/products,GET,200,406,True
192.168.1.2,2023-01-01 00:56:58,admin,iPhone; CPU OS 12_4_9,/api/v1/payments,POST,303,181,True
71.125.7.64,2023-01-01 00:57:13,analyst,Android/84.0,/api/v1/configuration,PUT,404,477,False
11.237.198.212,2023-01-01 00:58:03,deve1oper,Android/84.0,/api/v1/payments,GET,403,321,False
130.223.87.136,2023-01-01 01:01:39,aadmin,Edge/89.0,/api/v1/orders,PUT,304,843,False
192.168.1.2,2023-01-01 01:04:16,analyst,Safari,/api/v1/inventory,GET,401,193,True
34.174.38.77,2023-01-01 01:06:01,analyst,Android/84.0,/api/v1/payments,POST,500,738,False
192.168.1.1,2023-01-01 01:12:09,analyst,Chrome/87.0,/api/v1/inventory,GET,500,290,True
107.194.120.67,2023-01-01 01:12:45,analyzt,Opera/73.0,/api/v1/products,PUT,403,874,False
