User ID,Timestamp,Action,Resource,Status,Compliant
dmgfnecu,2023-01-01 00:00:20,View,Reports,Success,True
jufipxab,2023-01-01 00:00:21,Delete,Admin Panel,Success,False
gqbxixfz,2023-01-01 00:00:32,Access,Reports,Success,True
ayvtaotn,2023-01-01 00:01:03,Edit,Financials,Unauthorized,False
uqcwlbms,2023-01-01 00:01:07,View,Documents,Success,True
tiwfrwya,2023-01-01 00:01:09,View,Reports,Success,True
erjumbvw,2023-01-01 00:01:15,Login,Reports,Success,True
edlbnnfp,2023-01-01 00:01:23,Login,Reports,Success,True
hxsoqwbc,2023-01-01 00:01:32,Login,Reports,Success,True
hybwgcxm,2023-01-01 00:01:56,View,Documents,Success,True
vjirvepp,2023-01-01 00:02:12,View,Reports,Success,True
rwydhnby,2023-01-01 00:02:15,View,Reports,Success,True
nyzhzfny,2023-01-01 00:03:15,Login,Documents,Success,True
lsqpmihz,2023-01-01 00:03:15,View,Financials,Unauthorized,False
ynvxaodc,2023-01-01 00:03:17,Access,Dashboard,Success,True
aofqrvgk,2023-01-01 00:03:57,Login,Documents,Success,True
muwcpigh,2023-01-01 00:04:38,Access,Reports,Success,True
qhtzrcts,2023-01-01 00:04:48,Login,Dashboard,Success,True
wbqqooqd,2023-01-01 00:04:55,Login,Dashboard,Success,True
dmzfsqem,2023-01-01 00:05:09,Access,Documents,Success,True
dzfgjxfv,2023-01-01 00:06:49,Access,Documents,Success,True
cfgqpptj,2023-01-01 00:07:15,View,Admin Panel,Unauthorized,False
rsaanhtm,2023-01-01 00:07:33,Login,Financials,Unauthorized,False
euhcrmwx,2023-01-01 00:07:41,Access,Admin Panel,Success,False
bcgdasva,2023-01-01 00:07:42,View,Reports,Success,True
etcovjdq,2023-01-01 00:07:59,Delete,Admin Panel,Success,False
fdxwiwwd,2023-01-01 00:08:11,Access,Reports,Success,True
otchjgss,2023-01-01 00:08:15,Delete,Admin Panel,Unauthorized,False
uilkyxuc,2023-01-01 00:08:36,Access,Reports,Success,True
ppesgnfe,2023-01-01 00:08:40,Edit,Financials,Success,False
zthipwjc,2023-01-01 00:08:42,Login,Dashboard,Success,True
ioeerdlx,2023-01-01 00:08:51,Login,Reports,Success,True
nopdhpqk,2023-01-01 00:08:54,Delete,Admin Panel,Unauthorized,False
xtwlpqub,2023-01-01 00:10:08,Delete,Financials,Success,False
asqeeblp,2023-01-01 00:10:14,View,Dashboard,Success,True
ghgnnfaj,2023-01-01 00:10:18,View,Documents,Success,True
ckdevixg,2023-01-01 00:10:50,Access,Dashboard,Success,True
xqrrwnuo,2023-01-01 00:11:06,Access,Documents,Success,True
kcnbzbwc,2023-01-01 00:11:56,Login,Dashboard,Success,True
tkfopcqn,2023-01-01 00:12:19,Edit,Financials,Unauthorized,False
mekaicyn,2023-01-01 00:12:28,Login,Reports,Success,True
klhfsynh,2023-01-01 00:12:28,Edit,Financials,Success,False
godwukig,2023-01-01 00:12:32,Access,Reports,Success,True
adeubhrj,2023-01-01 00:12:47,Login,Dashboard,Success,True
ncjllofj,2023-01-01 00:13:02,Login,Reports,Success,True
wchjlffl,2023-01-01 00:13:13,Delete,Financials,Unauthorized,False
djazrtbg,2023-01-01 00:13:50,Login,Dashboard,Success,True
sbhtpxox,2023-01-01 00:14:00,View,Dashboard,Success,True
cezrkfvh,2023-01-01 00:14:27,View,Dashboard,Success,True
ldifrroi,2023-01-01 00:14:36,Edit,Financials,Success,False
mgvpnfil,2023-01-01 00:14:39,Edit,Admin Panel,Unauthorized,False
vtrcgvty,2023-01-01 00:14:46,View,Reports,Success,True
vtewbxqj,2023-01-01 00:15:14,Access,Dashboard,Success,True
whufbtgd,2023-01-01 00:15:35,View,Dashboard,Success,True
yotuvfgl,2023-01-01 00:16:09,View,Reports,Success,True
qwegzung,2023-01-01 00:16:37,Edit,Admin Panel,Unauthorized,False
aeixsfvm,2023-01-01 00:17:18,View,Admin Panel,Success,False
mzgxfvxl,2023-01-01 00:17:46,View,Admin Panel,Unauthorized,False
twjjpjds,2023-01-01 00:17:50,Delete,Financials,Success,False
njrvmwuf,2023-01-01 00:18:51,Delete,Financials,Unauthorized,False
gqsonqtu,2023-01-01 00:19:01,Access,Financials,Unauthorized,False
igyifltv,2023-01-01 00:19:02,Delete,Admin Panel,Unauthorized,False
lsgsvfkt,2023-01-01 00:19:09,Access,Reports,Success,True
ypphipqd,2023-01-01 00:19:20,Access,Reports,Success,True
boxjbxft,2023-01-01 00:19:23,Edit,Admin Panel,Unauthorized,False
fzmnxoyw,2023-01-01 00:19:49,Login,Reports,Success,True
awgoqsjv,2023-01-01 00:20:06,Login,Dashboard,Success,True
ntboknnp,2023-01-01 00:20:12,Access,Documents,Success,True
ekxjckcm,2023-01-01 00:20:25,Access,Dashboard,Success,True
cxtnprod,2023-01-01 00:20:37,Edit,Financials,Unauthorized,False
tjkxwdnb,2023-01-01 00:20:51,View,Reports,Success,True
gyytguxt,2023-01-01 00:21:03,Edit,Financials,Success,False
tiixlful,2023-01-01 00:21:34,Access,Documents,Success,True
fopetcil,2023-01-01 00:21:49,Access,Reports,Success,True
xfhzzlyj,2023-01-01 00:21:49,Login,Dashboard,Success,True
